STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE,RESERVOIR_NAME,STATION_ID_INPUT
CRY,2005-02-01,69345115.42508289,M3,15,M, ,STORAGE,20050201 0000,LOWER CRYSTAL SPRINGS RESERVOIR,CRY
CRY,2005-03-01,70276394.21243127,M3,15,M, ,STORAGE,20050301 0000,LOWER CRYSTAL SPRINGS RESERVOIR,CRY
SNN,2005-01-01,21129543.877188675,M3,15,M, ,STORAGE,20050101 0000,SAN ANDREAS,SNN
SNN,2005-02-01,16949273.929740198,M3,15,M, ,STORAGE,20050201 0000,SAN ANDREAS,SNN
SNN,2005-03-01,18348042.33351906,M3,15,M, ,STORAGE,20050301 0000,SAN ANDREAS,SNN
SPB,2005-01-01,26347172.0500146,M3,15,M, ,STORAGE,20050101 0000,SAN PABLO,SPB
SPB,2005-02-01,27642327.979439475,M3,15,M, ,STORAGE,20050201 0000,SAN PABLO,SPB
SPB,2005-03-01,29652903.3746419,M3,15,M, ,STORAGE,20050301 0000,SAN PABLO,SPB
SLN,2005-01-01,29573960.53703886,M3,15,M, ,STORAGE,20050101 0000,SANTA MARGARITA LAKE,SLN
SLN,2005-02-01,29882330.996425733,M3,15,M, ,STORAGE,20050201 0000,SANTA MARGARITA LAKE,SLN
SLN,2005-03-01,29746647.994295508,M3,15,M,,STORAGE,20050301 0000,SANTA MARGARITA LAKE,SLN
ATN,2005-01-01,227530526.71768692,M3,15,M, ,STORAGE,20050101 0000,LAKE SAN ANTONIO,ATN
ATN,2005-02-01,274856757.8607094,M3,15,M, ,STORAGE,20050201 0000,LAKE SAN ANTONIO,ATN
ATN,2005-03-01,313898924.9827629,M3,15,M, ,STORAGE,20050301 0000,LAKE SAN ANTONIO,ATN
WHR,2005-01-01,41258733.98412632,M3,15,M, ,STORAGE,20050101 0000,WHALE ROCK,WHR
WHR,2005-02-01,44690280.45618347,M3,15,M, ,STORAGE,20050201 0000,WHALE ROCK,WHR
WHR,2005-03-01,49864736.764695235,M3,15,M, ,STORAGE,20050301 0000,WHALE ROCK,WHR
NCM,2005-01-01,346768748.9897286,M3,15,M, ,STORAGE,20050101 0000,NACIMIENTO,NCM
NCM,2005-02-01,376119449.31417143,M3,15,M, ,STORAGE,20050201 0000,NACIMIENTO,NCM
NCM,2005-03-01,426538019.42392546,M3,15,M, ,STORAGE,20050301 0000,NACIMIENTO,NCM
GBL,2005-01-01,8667676.872446282,M3,15,M, ,STORAGE,20050101 0000,GIBRALTAR DAM,GBL
GBL,2005-02-01,8773756.310475366,M3,15,M, ,STORAGE,20050201 0000,GIBRALTAR DAM,GBL
GBL,2005-03-01,8630672.417319857,M3,15,M, ,STORAGE,20050301 0000,GIBRALTAR DAM,GBL
CCH,2005-01-01,232950445.91187066,M3,15,M, ,STORAGE,20050101 0000,CACHUMA LAKE (BRADBURY DAM),CCH
CCH,2005-02-01,232384277.74843633,M3,15,M, ,STORAGE,20050201 0000,CACHUMA LAKE (BRADBURY DAM),CCH
